Time,nsm,nlg,nsmz,nmdz,nlgz,no3,sio4,po4
2013-01-28 00:00:00,9.9039216127341E-08,5.78303896633921E-08,1.0815913432386E-07,6.89289929390159E-08,1.44356627265504E-08,1.55255287952581E-06,2.69737296282538E-06,1.61586157145427E-07
2013-01-28 12:00:00,1.15551653049397E-07,6.03134843922799E-08,1.11856212185851E-07,6.74841205024217E-08,1.40853144682636E-08,1.52698246268664E-06,2.62842192773434E-06,1.58884474727968E-07
2013-01-29 00:00:00,9.80037200505966E-08,5.42755202003676E-08,1.151756258119E-07,6.31887930819766E-08,1.3154652819783E-08,1.52660383567226E-06,2.61883445182266E-06,1.61406666110715E-07
2013-01-29 12:00:00,1.07105843338914E-07,6.02468383038255E-08,1.33126977950792E-07,6.75649859185564E-08,1.37969341715379E-08,1.398852562205E-06,2.47539363827375E-06,1.51842613312256E-07
2013-01-30 00:00:00,9.44279161605923E-08,5.48345725722388E-08,1.21409166049995E-07,6.68124798727704E-08,1.36101688856395E-08,1.40019922243429E-06,2.46374112536249E-06,1.52625981534471E-07
2013-01-30 12:00:00,1.09997229943415E-07,6.25420205772317E-08,1.29695531068749E-07,6.89731344942316E-08,1.36238920101714E-08,1.30114541451164E-06,2.29598811149288E-06,1.44590613203453E-07
2013-01-31 00:00:00,9.7498367498275E-08,5.86955942110069E-08,1.26749838061277E-07,7.07260643011123E-08,1.393008980684E-08,1.25453070053863E-06,2.23690547815355E-06,1.41922055052149E-07
2013-01-31 12:00:00,1.09682202508369E-07,6.33737545559148E-08,1.24818017388775E-07,7.10437120868012E-08,1.37582085341582E-08,1.22620040471194E-06,2.20616180260414E-06,1.39023674366236E-07
2013-02-01 00:00:00,9.3751922231853E-08,5.933384635152E-08,1.23044662454278E-07,7.1805898417551E-08,1.37932648877058E-08,1.19962939856636E-06,2.15158348597624E-06,1.38323858210613E-07
2013-02-01 12:00:00,1.05167253596822E-07,6.3305050958748E-08,1.24282519495048E-07,7.24392462214402E-08,1.37533022134117E-08,1.15789550843554E-06,2.08283762805461E-06,1.34466434162222E-07
2013-02-02 00:00:00,8.78771098317381E-08,5.82431894790623E-08,1.21350042405481E-07,7.26366016430167E-08,1.36763813244976E-08,1.18155829017792E-06,2.14226940370593E-06,1.37470210258587E-07
2013-02-02 12:00:00,1.00264896438821E-07,6.2793575156608E-08,1.20942303408588E-07,7.3144685187057E-08,1.36327791774157E-08,1.17719551177498E-06,2.14516426890444E-06,1.35936291882652E-07
2013-02-03 00:00:00,8.60659365479538E-08,5.86115286334669E-08,1.2017803259491E-07,7.28832243960541E-08,1.35425496825565E-08,1.18250321653876E-06,2.12627062923186E-06,1.37310310575661E-07
